"","Rede.Rodoviária","Rede.Rodoviária.Clandestina","Área.Devastada","População","Renda.domiciliar.per.capita","Taxa.de.desemprego","Homicídios","PIB","Exportação","Analfabetos"
"1",32614.67,11503,6990,4790371,465.54,9.15,591,38816638,594097762,13.22
"2",32621.2606212519,11561.4161013151,6910.05470142639,4791349.68738437,481.332445410423,9.15081480962682,595.871673628099,38815671.1024854,597517540.292909,13.3006518711459
"3",32627.8513232357,11619.8334496416,6832.63000980764,4792793.02657164,496.107067688578,9.15158207990994,600.642502464745,38824381.1419311,600956756.34875,13.3740541978364
"4",32634.4421059515,11678.2520449794,6757.65789793288,4794685.87070942,509.887755183457,9.15230397044335,605.314646103934,38842401.3755445,604415544.870253,13.4404315778471
"5",32641.0329693992,11736.6718873286,6685.07033859122,4797013.07294532,522.69839624405,9.15298264082104,609.890264139662,38869365.0605334,607894040.560151,13.5000086089537
"6",32647.6239135789,11795.0929766891,6614.79930457177,4799759.48642694,534.562879219346,9.15362025063701,614.371516165926,38904905.4541055,611392378.121175,13.5530098889316
"7",32654.2149384905,11853.5153130609,6546.77676866365,4802909.9643019,545.505092458337,9.15421895948526,618.760561776721,38948655.8134682,614910692.256058,13.5996600155567
"8",32660.8060441341,11911.9388964441,6480.93470365597,4806449.3597178,555.548924310013,9.15478092695979,623.059560566046,39000249.3958294,618449117.667531,13.6401835866044
"9",32667.3972305097,11970.3637268387,6417.20508233785,4810362.52582225,564.718263123364,9.15530831265459,627.270672127894,39059319.4583967,622007789.058327,13.6748051998504
"10",32673.9884976172,12028.7898042445,6355.51987749841,4814634.31576286,573.036997247381,9.15580327616366,631.396056056264,39125499.2583776,625586841.131176,13.7037494530704
"11",32680.5798454567,12087.2171286618,6295.81106192677,4819249.58268724,580.529015031054,9.15626797708099,635.437871945151,39198422.0529799,629186408.588812,13.7272409440398
"12",32687.1712740281,12145.6457000903,6238.01060841203,4824193.179743,587.218204823373,9.15670457500058,639.398279388552,39277721.0994112,632806626.133965,13.7455042705344
"13",32693.7627833315,12204.0755185303,6182.05048974331,4829449.96007773,593.128454973329,9.15711522951643,643.279437980462,39363029.6548791,636447628.469369,13.7587640303298
"14",32700.3543733668,12262.5065839815,6127.86267870974,4835004.77683906,598.283653829912,9.15750210022253,647.083507314879,39453980.9765913,640109550.297754,13.7672448212016
